year,title,genres,boxOffice,rank,category,winner
2012,War Horse,"Drama,History,War",87873366,40,Best Cinematography,false
2012,The Girl with the Dragon Tattoo,"Crime,Drama,Mystery",112767372,28,Best Cinematography,false
2012,The Artist,"Comedy,Drama,Romance",49138850,71,Best Cinematography,false
2012,The Tree of Life,"Drama,Fantasy",14633650,132,Best Cinematography,false
2012,Hugo,"Adventure,Drama,Family",81250957,48,Best Visual Effects,true
2012,Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy",419112340,1,Best Visual Effects,false
2012,Rise of the Planet of the Apes,"Action,Drama,Sci-Fi",194436203,11,Best Visual Effects,false
2012,Real Steel,"Action,Drama,Family",94015358,34,Best Visual Effects,false
2012,Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi",387629597,2,Best Visual Effects,false
2011,The King's Speech,"Biography,Drama,History",155453142,18,Best Picture,true
2011,127 Hours,"Adventure,Biography,Drama",20535457,118,Best Picture,false
2011,Black Swan,"Drama,Thriller",119789239,24,Best Picture,false
2011,The Fighter,"Biography,Drama,Sport",104851050,34,Best Picture,false
2011,Inception,"Action,Adventure,Sci-Fi",327685338,6,Best Picture,false
2011,The Social Network,"Biography,Drama",108598217,31,Best Picture,false
2011,The Kids Are All Right,"Comedy,Drama,Romance",23308728,113,Best Picture,false
2011,Toy Story 3,"Animation,Adventure,Comedy",464805465,1,Best Picture,false
2011,True Grit,"Adventure,Drama,Western",191792165,13,Best Picture,false
2011,Winter's Bone,"Drama,Mystery",7315283,137,Best Picture,false
2011,Le discours d'un roi,"Biography,Drama,History",155453142,18,Best Directing,true
2011,Black Swan,"Drama,Thriller",119789239,24,Best Directing,false
2011,The Social Network,"Biography,Drama",108598217,31,Best Directing,false
2011,Fighter,"Biography,Drama,Sport",104851050,34,Best Directing,false
2011,True Grit,"Adventure,Drama,Western",191792165,13,Best Directing,false
2011,The King's Speech,"Biography,Drama,History",155453142,18,Best Original Screenplay,true
2011,Another Year,"Comedy,Drama",3590390,152,Best Original Screenplay,false
2011,The Fighter,"Biography,Drama,Sport",104851050,34,Best Original Screenplay,false
2011,Inception,"Action,Adventure,Sci-Fi",327685338,6,Best Original Screenplay,false
2011,The Kids Are All Right,"Comedy,Drama,Romance",23308728,113,Best Original Screenplay,false
2011,The Social Network,"Biography,Drama",108598217,31,Best Adapted Screenplay,true
2011,127 Hours,"Adventure,Biography,Drama",20535457,118,Best Adapted Screenplay,false
2011,Toy Story 3,"Animation,Adventure,Comedy",464805465,1,Best Adapted Screenplay,false
2011,True Grit,"Adventure,Drama,Western",191792165,13,Best Adapted Screenplay,false
2011,Winter's Bone,"Drama,Mystery",7315283,137,Best Adapted Screenplay,false
2011,Inception,"Action,Adventure,Sci-Fi",327685338,6,Best Cinematography,true
2011,Black Swan,"Drama,Thriller",119789239,24,Best Cinematography,false
2011,The King's Speech,"Biography,Drama,History",155453142,18,Best Cinematography,false
2011,The Social Network,"Biography,Drama",108598217,31,Best Cinematography,false
2011,True Grit,"Adventure,Drama,Western",191792165,13,Best Cinematography,false
2011,Inception,"Action,Adventure,Sci-Fi",327685338,6,Best Visual Effects,true
2011,Alice in Wonderland,"Adventure,Family,Fantasy",374294043,2,Best Visual Effects,false
2011,Hereafter,"Drama,Fantasy",36676573,87,Best Visual Effects,false
2011,Harry Potter and the Deathly Hallows: Part 1,"Adventure,Fantasy,Mystery",331501301,5,Best Visual Effects,false
2011,Iron Man 2,"Action,Sci-Fi",349925330,3,Best Visual Effects,false
2010,The Hurt Locker,"Drama,Thriller,War",19740660,124,Best Picture,true
2010,A Serious Man,"Comedy,Drama",10661009,140,Best Picture,false
2010,Avatar,"Action,Adventure,Fantasy",882188844,1,Best Picture,false
2010,District 9,"Sci-Fi,Thriller",134149632,25,Best Picture,false
2010,Up in the Air,"Drama,Romance",97235121,35,Best Picture,false
2010,Inglourious Basterds,"Adventure,Drama,War",139827234,23,Best Picture,false
2010,Up,"Animation,Adventure,Comedy",339884830,5,Best Picture,false
2010,Precious,"Drama",54978966,61,Best Picture,false
2010,The Blind Side,"Biography,Drama,Sport",296912991,8,Best Picture,false
2010,An Education,"Drama",14586669,127,Best Picture,false
2010,Démineurs,"Drama,Thriller,War",19740660,124,Best Directing,true
2010,Avatar,"Action,Adventure,Fantasy",882188844,1,Best Directing,false
